entry,date,n_month,month,text
137,Fri May 17,05/1912,May,Feeling pretty low when I woke..Mrs P. and Mr came and approved.. and I felt ready to leave it till the 27 when she will come again for one day..Had good rest and got off comfortably at 7.for Phila. but very tiresome trip as my hat wouldnt let me put my head back. Was glad to find Anne there and ready to see me.. Very comfy in my room there . I am really fond of it.  Very warm day..
138,Sat May 18,05/1912,May,Quite a holiday feeling when I got up . No work .. Anne started out with me in the open carr.  I to Wans and other shopping but spent much time looking for what I did not get. To book binders with G.H. to be bound for Dunn.  This was fun all but the stairs. Got back only in time to have short rest and after Car L. with me in carr to Reading Term and train to Doylestown. H.Mc C came on at Jenkintown  Lollies etc . Nice trip and in little hack to the first Mercer house. Very Mercerish but when we got to the real one .. Fairyland. I was rapt away. Dis not see him at first but later and I had wonderful moments with him alone being shown things. The Joe Pennells and Fanny later He a terribly ugly and insistant man . She a charmer. We went back to the other house to dine . in a big barren interesting room and after cocktails were extremely jolly  I betwen H Mercer and J. Pennell.  and hard fighting with the latter. It got late and we had to come home in train the P and I . fighting all the way.. Not back till 12. But a wondrous day.
139,Sun May 19,05/1912,May,Out to Wynnewood for a day with my H .. So long before another. Very tired .. They full fo the garden. Himmer and young v violinist to lunch and they played H's trio after Bliss for me .. I to sup and back at nine Jim met and took me to L's.
140,Mon May 20,05/1912,May,Got off very early to studio Taws came as directed and I found frame and stands just as I should A great fit. Got the canvas on new stretcher in no time and had the background all going and things on the face before Mr N came. Mrs Roberts staying away. Very hot. Got through the head and all but the background but he is to come again. My beloved came at one tonsee it and approved. A great comfort.  In aft Anne and I went to drive . A wonder through the lovely Wissa hickory for three hours. Din with them and bed early.
141,Tues May 21,05/1912,May,Up earlt and did several chores before the studio.. Got at pic and really finished with a bang .  Had to wind up everything  Mr L came and admired greatly . but he dont know. It is to be taken out on Thurs and the children are to see it to bracket in margin in pencil morrow. .. Quite a spasm leafing but managed to make a pretty good fit.. Time for rest after lunch and got off in five train to Beth. Not a bad trip and it was swet to find Kitty at station and the cool mountain sid e with my dear sister and all at the end. Kate is there pretty mis but better and Jim and Tom turned up at din. A houseful.. I coul n t go to the room .. O the memories but it was better than I feared.  I slept in Kitty's room next to Etta. Walked in garden and heard much of Arthur.
142,Wed May 22,05/1912,May,Exquisite cool mornin. Etta and I a long time in the garden talking. also nearly all day the same. So many things saved up Little rest after lunch and then another parting. I hated to leave them Tom attended to my trunk and ticket and Ern took me to train at four. Long but not bad trip and Anna met at 23. So glad to get back but the best was a bundle of books. Two novels with John Wilkie's card. A good deal of  mail and nice letter from m Terence. Anna got me sup and I did not call G's Too tired.. and got at once at Christopher. One of the books.
143,Thurs May 23,05/1912,May,Wrote note at once in morn of course.. which I enjoyed. Mrs Kremer and I got at hair. Did not like very much. Readin Benjamin Franklin. Quite cold .. after the heat. Long rest.. and seeing Mrs Huntington..S1 had called up In 19 st of course.  and came in We had tea and then went to the Park and sat a long while I hearing much. He is happy now.. Went to the G's to din . back early.
144,Fri May 24,05/1912,May,Pom frame came in the morning . and young Slater soon after. Very anxious. Kremer and got on with the head. Wonderful weather now though warm. The park is exquisite.  After rest Anne Patterson came and I had cut hair so that I need not be so wiggy in front I ama deception.  Fitchie after and we sat in the park.H there and looking better. TCrrific thunderstorm and I dressed for the Guerins in it. Scarlet satin and ready just in time to get there after the rain. John L ran down stairs to meet me. That Name . How strange that he should use it '(Cecily'  It was very queer but also terribly nice. when I did not think. A nice man named Bennett and Fred Matthews.  On the roff after in moonlight . Studio after and much nonsense but very jolly. Not back till twelve. F M and J.L.W. escorting. Very good eve and restored.
145,Sat May 25,05/1912,May,"Perfect morning. Kremer and did arm and elbow and various things . Feeling it getting done now. Rest after lunch and then to Park where I f und H. at 5,30 out to find dear Susie Sedgwick Swann.. a lovely visit she to park too. In to G's to din and eve bu back early to read Christopher in bed."
146,Sun May 26,05/1912,May,Wondrous lovely fresh day. But I spent every moment of the morning at my desk and pretty nearly go thr ugh. Lunch down stairs and rest reading. Then more writing dress and Fitchie. Tea and to the park . Met Tita Corrigan and the Judge just outsid looking for rooms. Sat in Park and then went down to see Mrs Van . Found her in and with Mr. Coffin. Stayed till late and good time with her alone. Walked back enjoying speed. and dined alonC in Dining room. Called up Dunn today at twelve and had little talk. P etty nice but dont quite know.
147,Mon May 27,05/1912,May,Expecting Mrs Pom and she came bringing lovely orchids. Went over much ground especially the background.. and got it really done . filing in the background  not at all as I intended. She enthuse also May .. Somehow it isnt exactly my kin of pic.. Worked some after lunch to sign.. Rest and long. Miss Jordan called up and I ahd to let her come at 5.30 Big and cool looking and we went out to the Park and had quite a talk. She is a fine woman.. Imposed on by relatives. Called up G's to go in there but htey were not going to have din so I had it alone here. and went out alone to the Park in moonlight and too much electricity but what it is to go there.Anna had a letter from Bridget wanting to come back  Almost too good to be true.
148,Tues May 29,05/1912,May,Up very early and out to get curtain for the pic. Found a g good piece of dark green. and got it arranged before the K's came. .. Mr K always approving. Finishing Drake. Did a lot a over.  .. Good rest and pretty late out to go to Freunds. Was beguiled by Helen Bettle in the Perk and she walked up with me. Spent a long time at F's and got a borrowed gilt glass to put in the corner of Mrs Kremer. also another chair and candlestick for the table at G.A. Back lat and went in to G's .. Where I found  Terence  shut in the library with D. Tableaux. He had just got there and I flew off as he was going to dine. He came at eight .. after I spose taken D to the Theatre. It was showery but went twice to the Park and finally settled down in a sequestered place where we could see the moon and the big tree. and not too much light.  Lovely time the a torch light procession of women and girls singing a hymn and carrying lighted candles perambulated. Stayed till 10.30 Shall see again soon. A blue book of Tom's latest stories came today and without name or sign. Might be Anne .but not her usual way or Tom but he always inscribes. or J.W. wish I knew am now reading Spanish gold his other gift .. too funny.
